Amount of boids, FPS
500,4.12395
500,18.9812
500,35.8743
501,51.6494
501,46.4643
501,38.3697
502,35.8279
502,33.6118
502,45.4684
503,49.1623
503,42.6661
503,42.0863
504,39.389
504,29.6925
504,44.7604
505,47.0438
505,48.2367
505,46.1423
506,42.3758
506,41.1511
506,44.6498
507,48.5873
507,49.5805
507,49.7785
508,45.9438
508,46.3377
508,78.509
509,65.1538
509,61.5881
509,79.1434
510,73.6496
510,76.5158
510,68.1686
511,68.7181
511,75.9307
511,78.5842
512,78.7625
512,75.6653
512,80.0307
513,81.3676
513,62.4407
513,49.7327
514,61.8544
514,82.9071
514,65.3172
515,78.2773
515,78.612
515,81.9612
516,81.0182
516,83.4063
516,81.9928
517,82.5675
517,86.4543
517,88.7737
518,87.6286
518,72.8863
518,83.647
519,86.3908
519,86.1126
519,84.5594
520,87.6424
520,85.1898
520,86.713
521,84.0718
521,86.1267
521,87.2821
522,84.1538
522,86.9142
522,85.3344
523,85.1078
523,82.314
523,83.2085
524,86.0282
524,82.3554
524,82.2314
525,85.5037
525,85.7383
525,83.2508
526,86.043
526,87.9786
526,87.6455
527,88.3619
527,83.4188
527,88.0499
528,83.6316
528,84.3156
528,85.4051
529,87.244
529,86.2389
529,86.201
530,85.1745
530,82.7246
530,84.6676
531,84.139
531,82.7753
531,83.0475
532,82.6651
532,81.8873
532,83.4523
533,80.8774
533,82.9703
533,83.8729
534,85.8472
534,85.0037
534,87.3431
535,86.8199
535,87.1384
535,85.9956
536,86.408
536,79.521
536,81.4863
537,80.0173
537,82.5723
537,86.0023
538,86.169
538,82.2551
538,85.5176
539,87.1999
539,83.2064
539,77.4755
540,85.7545
540,83.7058
540,86.8538
541,86.3185
541,84.6289
541,83.3583
542,81.4863
542,82.8027
542,85.8038
543,86.0874
543,86.7784
543,85.0521
544,87.0845
544,86.3677
544,87.1429
545,86.6987
545,86.7943
545,85.955
546,86.5284
546,87.4455
546,85.1354
547,85.4423
547,84.7824
547,87.2882
548,81.9679
548,80.5717
548,83.6876
549,84.5059
549,83.5108
549,82.2139
550,81.3981
550,82.6617
550,84.4438
551,85.8878
551,84.2637
551,85.2297
552,85.3811
552,85.5505
552,85.6362
553,85.0116
553,85.972
553,86.2783
554,78.7643
554,79.7385
554,81.5494
555,82.4463
555,84.2275
555,85.5483
556,83.5401
556,82.6713
556,83.6792
557,84.9986
557,83.5617
557,84.224
558,85.7552
558,83.9201
558,83.7318
559,76.8504
559,82.6952
559,84.3569
560,78.9821
560,78.6807
560,80.8617
561,82.3893
561,82.2761
561,82.4538
562,83.6204
562,82.6993
562,83.8574
563,79.8435
563,81.3537
563,81.4604
564,81.88
564,80.2336
564,82.8514
565,83.2542
565,78.7743
565,79.0077
566,82.0129
566,81.3352
566,82.1578
567,83.9046
567,83.9687
567,79.3342
568,82.5375
568,80.8852
568,84.0195
569,84.1177
569,83.1656
569,81.616
570,85.0637
570,84.1992
570,84.6683
571,79.6597
571,78.9359
571,84.3057
572,84.0075
572,83.661
572,83.1539
573,83.7177
573,84.4694
573,84.5166
574,84.8443
574,84.4901
574,85.2551
575,84.0704
575,84.2843
575,85.3046
576,84.7551
576,84.4131
576,82.4035
577,79.7989
577,77.3282
577,82.5137
578,78.1537
578,75.7386
578,78.9285
579,78.3386
579,76.8486
579,78.2914
580,77.752
580,78.0275
580,79.2242
581,66.5899
581,62.3208
581,76.4678
582,79.3374
582,80.5289
582,71.5753
583,76.884
583,76.6219
583,77.2636
584,80.2658
584,79.4086
584,80.2472
585,76.2695
585,78.6924
585,79.991
586,79.3859
586,78.2718
586,80.1398
587,78.6028
587,79.8282
587,79.5995
588,78.2026
588,70.4796
588,73.6551
589,73.0663
589,73.6599
589,78.6238
590,80.5549
590,79.5957
590,79.8015
591,78.3902
591,79.36
591,76.5205
592,79.228
592,79.2337
592,79.6978
593,77.9989
593,75.857
593,76.255
594,72.5331
594,75.9094
594,72.3751
595,76.7189
595,77.8962
595,78.8849
596,79.1227
596,75.8714
596,78.7042
597,79.755
597,79.3135
597,78.9135
598,79.5355
598,75.3296
598,80.0647
599,79.0995
599,73.7235
599,72.4858
600,75.3591
600,76.2986
600,79.0451
601,77.3234
601,74.5846
601,78.6213
602,77.7206
602,78.9036
602,79.2023
603,75.9319
603,77.1563
603,74.2677
604,77.1664
604,77.321
604,71.7293
605,73.17
605,78.3147
605,76.7495
606,77.8586
606,78.2289
606,76.1626
607,78.6856
607,75.8725
607,74.921
608,78.1983
608,76.7312
608,80.3174
609,76.6008
609,72.2622
609,74.5234
610,68.0587
610,73.4268
610,73.0225
611,69.5565
611,76.9562
611,76.4491
612,77.5254
612,76.9515
612,76.9142
613,78.8581
613,77.2583
613,69.9878
614,75.7926
614,74.3384
614,77.1123
615,74.8996
615,72.8263
615,67.5954
616,74.7954
616,75.8881
616,76.9811
617,78.7519
617,76.6683
617,77.1307
618,76.5603
618,73.8722
618,73.4813
619,75.1467
619,74.6949
619,72.4323
620,73.4182
620,72.8587
620,70.9024
621,70.2775
621,72.489
621,72.9938
622,74.8817
622,76.3394
622,76.3283
623,74.715
623,75.2196
623,77.0553
624,76.5849
624,76.0503
624,75.9561
625,76.7142
625,76.5222
625,72.416
626,68.5937
626,72.7453
626,73.7599
627,74.2176
627,75.0238
627,75.8409
628,73.9415
628,74.4374
628,75.35
629,75.73
629,75.507
629,71.1131
630,72.9331
630,73.3374
630,71.5927
631,70.3205
631,69.7156
631,73.8569
632,72.2768
632,71.7623
632,72.6079
633,74.2424
633,72.3406
633,71.0384
634,72.5342
634,70.7935
634,73.4873
635,71.2946
635,72.6945
635,72.5221
636,67.1272
636,70.244
636,73.0775
637,74.2093
637,74.0818
637,73.2424
638,72.384
638,71.6846
638,70.4578
639,73.4409
639,72.4428
639,71.3419
640,71.4281
640,71.1764
640,71.9642
641,69.6311
641,70.8778
641,72.2079
642,68.2752
642,72.6222
642,72.4942
643,71.1091
643,72.9203
643,70.1277
644,72.3767
644,76.1319
644,74.4009
645,73.6887
645,71.2916
645,66.753
646,73.798
646,72.0305
646,72.4843
647,75.0706
647,74.3948
647,72.2705
648,72.1563
648,72.6127
648,70.9315
649,71.4184
649,71.7057
649,71.5789
650,73.2724
650,72.6993
650,69.6981
651,74.0445
651,71.973
651,75.4245
652,79.1145
652,80.7767
652,73.1133
653,75.9123
653,80.4946
653,78.3865
654,72.4087
654,77.3413
654,78.4142
655,75.6218
655,75.8541
655,73.8634
656,73.8105
656,76.0566
656,79.6686
657,73.2097
657,82.5798
657,81.8471
658,77.9508
658,79.6813
658,79.8958
659,73.0519
659,80.5296
659,78.4615
660,79.8875
660,77.6199
660,77.5194
661,79.595
661,72.1137
661,78.0762
662,65.0335
662,70.1946
662,73.1181
663,78.7619
663,78.2362
663,78.8631
664,84.1885
664,84.1156
664,83.2848
665,78.9964
665,83.4606
665,81.7728
666,81.6147
666,82.2808
666,81.2077
667,79.3355
667,76.3073
667,82.3337
668,82.9401
668,80.9782
668,81.6573
669,81.034
669,86.0378
669,80.9913
670,84.6826
670,84.2453
670,83.8638
671,86.2166
671,85.1571
671,81.1899
672,76.3155
672,80.575
672,79.8684
673,83.9088
673,83.1165
673,83.0848
674,84.791
674,82.7472
674,83.2064
675,84.0068
675,90.0171
675,84.1064
676,83.6085
676,88.4197
676,85.5286
677,84.8846
677,90.8703
677,92.5926
678,86.6484
678,88.1011
678,87.7786
679,92.8988
679,94.4162
679,86.8923
680,93.0484
680,95.7103
680,96.472
681,95.563
681,96.5027
681,97.2517
682,97.0553
682,95.638
682,96.1955
683,97.2942
683,94.8965
683,95.4809
684,97.6019
684,97.8263
684,98.2859
685,94.1699
685,91.4052
685,94.802
686,95.8929
686,95.1131
686,96.2983
687,97.5524
687,98.6009
687,94.3503
688,91.0855
688,100.071
688,100.128
689,99.977
689,99.0727
689,99.1002
690,100.63
690,97.7527
690,99.7069
691,100.346
691,99.0001
691,90.6659
692,94.4528
692,97.3444
692,96.5876
693,95.1068
693,97.6944
693,98.5698
694,98.8709
694,100.599
694,98.7684
695,99.7417
695,98.2231
695,98.8572
696,99.4639
696,92.8324
696,92.9567
697,92.6166
697,92.6621
697,93.396
698,96.8983
698,92.5215
698,89.3009
699,98.2405
699,85.5886
699,90.1437
700,91.9836
700,95.2327
700,93.8712
701,96.2937
701,97.1732
701,97.0968
702,97.0817
702,97.6238
702,98.0902
703,97.9087
703,83.3695
703,90.9529
704,91.0473
704,93.813
704,90.1388
705,79.2443
705,88.7831
705,91.5047
706,91.5483
706,90.5937
706,92.3088
707,91.3701
707,88.7311
707,91.6078
708,89.7143
708,91.9194
708,86.6183
709,88.5685
709,96.5773
709,95.2935
710,84.5788
710,95.9767
710,92.9031
711,87.6463
711,88.7776
711,88.0685
712,96.0892
712,95.0914
712,93.5865
713,95.2245
713,94.2143
713,95.5082
714,95.2689
714,94.9668
714,94.9073
715,95.5301
715,94.7346
715,94.5913
716,95.3844
716,94.5358
716,94.4992
717,95.9297
717,88.5285
717,88.4025
718,86.0452
718,94.8587
718,93.3271
719,85.9225
719,91.8847
719,92.7988
720,92.0717
720,94.5314
720,94.5063
721,93.444
721,92.9437
721,94.4706
722,95.2009
722,94.3637
722,87.1118
723,86.8236
723,92.742
723,85.0188
724,89.1313
724,89.3503
724,94.4974
725,93.4737
725,93.7286
725,94.6611
726,93.2523
726,91.2126
726,93.7269
727,92.0116
727,92.9524
727,92.6861
728,93.947
728,91.4595
728,92.7334
729,93.1047
729,92.816
729,93.0795
730,92.1888
730,85.7677
730,86.7852
731,91.4746
731,93.3149
731,92.3344
732,92.6518
732,93.2749
732,92.2867
733,93.1029
733,93.1125
733,92.2926
734,91.8291
734,92.1133
734,91.2759
735,88.5277
735,91.1644
735,93.8518
736,92.6629
736,90.3751
736,87.7131
737,89.1345
737,86.7551
737,88.2636
738,92.942
738,92.8384
738,92.366
739,92.9973
739,90.6742
739,91.8822
740,93.4763
740,91.691
740,91.4896
741,92.2518
741,92.6767
741,92.4411
742,90.763
742,81.5003
742,81.3418
743,79.2569
743,79.9079
743,92.7085
744,91.255
744,94.3138
744,93.3036
745,93.6172
745,93.3995
745,93.2132
746,93.1923
746,92.3933
746,92.5549
747,94.1903
747,91.6011
747,92.9308
748,93.0336
748,93.2644
748,93.1385
749,90.3522
749,88.2215
749,90.2218
750,85.047
750,87.4898
750,90.7375
751,92.0641
751,91.4394
751,91.3651
752,90.7342
752,90.8793
752,91.1968
753,92.4257
753,90.8868
753,91.6943
754,92.4351
754,87.0261
754,88.75
755,90.3196
755,91.9371
755,84.8515
756,86.5778
756,90.052
756,84.6253
757,92.4727
757,91.8603
757,92.4582
758,91.6565
758,90.4429
758,86.6746
759,85.0709
759,91.7263
759,84.9668
760,92.4172
760,84.74
760,88.1383
761,87.6178
761,90.9902
761,85.9727
762,83.9306
762,89.6853
762,88.2519
763,88.2706
763,90.2258
763,90.7293
764,88.326
764,90.8026
764,90.138
765,90.3661
765,90.6413
765,90.043
766,86.7017
766,87.9987
766,86.1698
767,90.4748
767,91.3784
767,85.0687
768,82.4131
768,89.0329
768,90.6569
769,90.456
769,90.0601
769,90.9852
770,85.1361
770,88.4643
770,89.5488
771,86.5359
771,86.6296
771,88.2145
772,87.9794
772,85.6839
772,85.9158
773,86.986
773,86.355
773,82.4008
774,77.5873
774,88.6973
774,89.2387
775,78.6689
775,90.4715
775,90.8174
776,91.4428
776,90.4797
776,89.2363
777,89.1488
777,87.0822
777,88.9791
778,88.6548
778,89.3104
778,89.3679
779,88.5481
779,88.1438
779,89.544
780,81.9202
780,84.6088
780,87.4126
781,85.1484
781,84.4923
781,86.2552
782,86.9444
782,85.7567
782,85.3184
783,87.1186
783,88.1873
783,88.0762
784,87.6155
784,88.6101
784,89.4895
785,89.2833
785,89.0401
785,85.9793
786,79.7588
786,86.6551
786,87.1148
787,86.1148
787,77.1885
787,83.9137
788,88.2449
788,88.4431
788,87.7732
789,88.2356
789,86.3006
789,82.4239
790,81.5135
790,86.3126
790,88.817
791,89.6491
791,89.0972
791,84.047
792,84.5094
792,85.7971
792,87.6578
793,87.5718
793,88.4948
793,87.4019
794,81.3709
794,89.1417
794,86.9142
795,88.0817
795,88.1523
795,84.3611
796,83.2612
796,85.1259
796,87.4967
797,87.3843
797,85.3709
797,83.0137
798,76.4982
798,82.3771
798,82.605
799,83.9398
799,87.4868
799,87.1202
800,87.1642
800,86.0585
800,87.0731
801,85.3191
801,85.118
801,85.0854
802,86.8169
802,86.2731
802,86.3752
803,84.2737
803,86.2225
803,81.5681
804,78.246
804,85.8354
804,87.7755
805,86.6837
805,87.1217
805,86.6408
806,85.9697
806,85.789
806,84.943
807,85.9978
807,86.02
807,85.6773
808,86.6341
808,86.2322
808,86.3006
809,82.5212
809,82.1943
809,81.2592
810,85.5205
810,84.5109
810,84.29
811,84.5266
811,85.2173
811,85.8974
812,86.0815
812,85.6861
812,86.0674
813,86.2843
813,85.4599
813,85.0919
814,86.0756
814,84.6575
814,85.4248
815,85.6773
815,79.8091
815,84.0506
816,83.2799
816,81.8491
816,83.9821
817,83.4446
817,83.6463
817,84.5866
818,83.1815
818,83.9222
818,84.5502
819,83.1276
819,83.2841
819,85.2755
820,83.696
820,84.3249
820,85.1694
821,85.2966
821,80.2652
821,82.6829
822,83.0399
822,82.1018
822,83.9786
823,82.2754
823,83.2834
823,84.2588
824,84.8839
824,80.3671
824,81.0392
825,82.371
825,83.2535
825,84.1114
826,83.2861
826,83.248
826,79.6832
827,85.1861
827,80.6517
827,83.7304
828,82.8961
828,79.1872
828,83.7507
829,84.8176
829,84.4923
829,82.96
830,83.6736
830,83.1663
830,82.9483
831,83.7507
831,83.5087
831,83.4913
832,83.1559
832,83.3792
832,84.3455
833,84.4552
833,78.8581
833,82.6153
834,81.813
834,82.4362
834,83.9461
835,84.636
835,84.3334
835,84.3035
836,85.1919
836,83.2806
836,84.8248
837,84.2467
837,83.3139
837,83.0268
838,82.8226
838,84.3654
838,84.1737
839,80.0756
839,81.0951
839,82.7116
840,82.5443
840,83.2404
840,81.32
841,83.4801
841,82.4402
841,84.1971
842,81.8203
842,83.1532
842,81.8056
843,84.3341
843,82.3201
843,82.4165
844,82.6364
844,82.4735
844,79.406
845,76.0358
845,76.8049
845,77.1575
846,79.8072
846,81.2407
846,81.7361
847,78.5139
847,82.2193
847,81.7742
848,82.5042
848,82.3927
848,82.0425
849,79.3072
849,82.1254
849,81.2506
850,83.1435
850,81.9934
850,77.7732
851,78.4431
851,78.9135
851,79.5741
852,80.627
852,57.9103
852,69.1243
853,82.8782
853,82.1889
853,82.3093
854,82.2971
854,81.406
854,82.98
855,82.2565
855,83.0248
855,82.4226
856,78.8731
856,78.6349
856,79.2563
857,80.549
857,78.9092
857,80.6836
858,82.2362
858,80.7989
858,82.1916
859,80.8793
859,81.8592
859,82.2159
860,81.62
860,81.7347
860,81.7956
861,78.8389
861,79.5912
861,75.3653
862,76.5644
862,81.422
862,81.6233
863,82.1767
863,83.0206
863,82.2247
864,82.2166
864,79.6223
864,79.1145
865,82.1382
865,82.0291
865,81.0951
866,79.3449
866,81.7401
866,81.9659
867,76.9515
867,72.5758
867,80.1
868,82.0466
868,80.9913
868,80.8113
869,80.0493
869,81.0169
869,79.8116
870,81.242
870,80.7278
870,81.8887
871,81.2843
871,80.5815
871,81.8847
872,80.5659
872,78.842
872,77.9593
873,76.3854
873,78.9073
873,79.0483
874,79.1452
874,80.4117
874,79.6641
875,78.1659
875,76.0121
875,72.8497
876,74.5462
876,79.8129
876,80.2594
877,80.1166
877,79.0995
877,78.8271
878,80.159
878,76.5562
878,72.3694
879,79.6565
879,79.6883
879,78.8283
880,79.7995
880,79.8429
880,81.2698
881,81.5202
881,80.7402
